"kategorija","broj_po_kategoriji"
"frizideri",1065
"usisivaci",864
"ves-masine",778
"televizori",700
"pegle",519
"masine-za-pranje-sudova",504
"ugradne-rerne",493
"ugradne-ploce",457
"mikseri-i-seckalice",455
"aspiratori",439
"klima-uredjaji",345
"espresso-aparati",338
"kuvala-za-vodu",317
"aparati-za-kuvanje-i-pecenje",304
"sporeti",294
"bojleri",285
"aparati-za-tretiranje-vazduha",277
"blenderi",242
"mikrotalasne-rerne",235
"tosteri",232
"airfryer",227
"ventilatori",184
"zamrzivaci",145
"sokovnici",112
"aparati-za-kafu",98
"multipraktik",60
"parocistaci",31
