"naziv","brend","cena","ek_ocena","ek_skala","izvor"
"HISENSE 116UXQ","HISENSE",2499999.00,"D","nova","tehnomedija.rs"
"HISENSE 116UXQ Mini LED 4K Ultra HD","HISENSE",2499999.00,NULL,NULL,"gigatron.rs"
"TCL 115X955MAX","TCL",2399999.00,"G","nova","tehnomedija.rs"
"TCL 115X955 Max QD Mini-LED 4K Ultra HD","TCL",2349999.00,"G","nova","gigatron.rs"
"SAMSUNG QE98QN90FAT Neo QLED 4K Ultra HD","SAMSUNG",1207999.00,"E","nova","gigatron.rs"
"SAMSUNG QE85QN900CTXXH","SAMSUNG",899999.00,"G","nova","tehnomedija.rs"
"SAMSUNG MRE85R95HAT Micro RGB 4K Ultra HD","SAMSUNG",789990.00,"E","nova","gigatron.rs"
"SAMSUNG QE83S99HAE OLED 4K Ultra HD","SAMSUNG",744990.00,"E","nova","gigatron.rs"
"SAMSUNG QE83S90FAEXXH","SAMSUNG",698990.00,"F","nova","tehnomedija.rs"
"TCL 98X11K","TCL",684999.00,"G","nova","tehnomedija.rs"
"TCL 98X11K QD Mini-LED 4K Ultra HD","TCL",684999.00,"G","nova","gigatron.rs"
"SAMSUNG QE85LS03HWU The Frame Pro QLED 4K Ultra HD","SAMSUNG",609990.00,"F","nova","gigatron.rs"
"SAMSUNG MRE75R95HAT Micro RGB 4K Ultra HD","SAMSUNG",599990.00,"E","nova","gigatron.rs"
"SAMSUNG QE75QN900FTXXH","SAMSUNG",584990.00,"G","nova","tehnomedija.rs"
"SONY XR98X90LAEP","SONY",579999.00,"E","nova","tehnomedija.rs"
"SONY K98XR55BP 4K Ultra HD","SONY",559999.00,"C","nova","gigatron.rs"
"LG OLED83G51LW.AEU","LG",549999.00,"E","nova","tehnomedija.rs"
"SAMSUNG QE77S95HFT OLED 4K Ultra HD","SAMSUNG",534990.00,"F","nova","gigatron.rs"
"LG OLED83G51LW evo AI G5 4K Ultra HD","LG",529999.00,"E","nova","gigatron.rs"
"SAMSUNG MRE85R85HAU Micro RGB 4K Ultra HD","SAMSUNG",509990.00,"E","nova","gigatron.rs"
"SAMSUNG QE75QN900FT Neo QLED 8K","SAMSUNG",469999.00,"G","nova","gigatron.rs"
"SAMSUNG QE100QN80FU Neo QLED 4K Ultra HD","SAMSUNG",469999.00,"F","nova","gigatron.rs"
"SAMSUNG QE83S85HAE OLED 4K Ultra HD","SAMSUNG",469990.00,"E","nova","gigatron.rs"
"SAMSUNG QE75LS03HWU The Frame Pro QLED 4K Ultra HD","SAMSUNG",449990.00,"F","nova","gigatron.rs"
"SONY XR85X95KAEP","SONY",439999.00,"E","nova","tehnomedija.rs"
"TCL 98C8K QD-Mini LED 4K Ultra HD","TCL",439999.00,"D","nova","gigatron.rs"
"LG OLED83G42LW.AEU","LG",429900.00,"F","nova","tehnomedija.rs"
"SAMSUNG QE83S90FAE S90F OLED Vision AI 4K Ultra HD","SAMSUNG",419999.00,"F","nova","gigatron.rs"
"SAMSUNG QE65S99HAT OLED 4K Ultra HD","SAMSUNG",414990.00,"E","nova","gigatron.rs"
"SAMSUNG QE77S95CATXXH","SAMSUNG",399999.00,"F","nova","tehnomedija.rs"
